file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,145,css,8d14fe9f,hserykava,2025-04-25,19:42:42,-07:00,2025-04-25T19:42:42-07:00,0,0
style.css,146,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,19
style.css,147,css,c1306090,hserykava,2025-05-02,19:47:25,-07:00,2025-05-02T19:47:25-07:00,0,15
style.css,148,css,c1306090,hserykava,2025-05-02,19:47:25,-07:00,2025-05-02T19:47:25-07:00,0,17
style.css,149,css,c1306090,hserykava,2025-05-02,19:47:25,-07:00,2025-05-02T19:47:25-07:00,0,17
style.css,150,css,c1306090,hserykava,2025-05-02,19:47:25,-07:00,2025-05-02T19:47:25-07:00,0,0
style.css,151,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,15
style.css,152,css,03de256c,hserykava,2025-05-02,21:23:34,-07:00,2025-05-02T21:23:34-07:00,0,15
style.css,153,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,17
style.css,154,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,17
style.css,155,css,03de256c,hserykava,2025-05-02,21:23:34,-07:00,2025-05-02T21:23:34-07:00,0,0
style.css,156,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,8
style.css,157,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,13
style.css,158,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,58
style.css,159,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,10
style.css,160,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,12
style.css,161,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,22
style.css,162,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,15
style.css,163,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,0
style.css,164,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,0
style.css,165,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,13
style.css,166,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,13
style.css,167,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,19
style.css,168,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,10
style.css,169,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,0
style.css,170,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,0
style.css,171,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,8
style.css,172,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,10
style.css,173,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,11
style.css,174,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,30
style.css,175,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,21
style.css,176,css,f6b9875b,hserykava,2025-05-02,21:59:26,-07:00,2025-05-02T21:59:26-07:00,0,18
style.css,177,css,0e744301,hserykava,2025-05-02,21:55:03,-07:00,2025-05-02T21:55:03-07:00,0,0
style.css,178,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,11
style.css,179,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,13
style.css,180,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,19
style.css,181,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,9
style.css,182,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,15
style.css,183,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,23
style.css,184,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,17
style.css,185,css,1e784102,hserykava,2025-05-02,23:15:28,-07:00,2025-05-02T23:15:28-07:00,0,0
